School_Code,School_Name,District_Code,District_Name,School_Type,School_Index,School_Rating_Category,ESSA_Support_Status,Comprehensive_Decision,Targeted_Decision,Targeted_Subgroups,School_Index_Source,Percent_Male,Percent_Female,Percent_EL,Percent_FRL,Percent_IEP,Percent_Asian,Percent_Black,Percent_PacIs,Percent_Hispanic,Percent_Multi,Percent_NatAm,Percent_White,Percent_Foster_Care,Percent_Military_Connected,Percent_Migrant,Percent_Homeless,Count_All_Students,Percent_NonBinary,Index_EL,Index_FRL,Index_IEP,Index_Asian,Index_Black,Index_PacIs,Index_Hispanic,Index_Multi,Index_NatAm,Index_White
90109,AGWSR High School,9,AGWSR Comm School District,High,56.36,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,46.4,53.1,2.1,35.4,12.5,0.5,0.5,0.0,10.4,1.6,0.0,87.0,0.0,0.0,0.0,0.5,192,0.5,0.0,53.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.6
90172,AGWSR Middle School,9,AGWSR Comm School District,Middle,57.25,Commendable,Targeted Year 2,Met,Met,Achieved Standard,Independent Institutional Data,52.8,47.2,1.2,41.0,17.4,0.0,0.6,0.0,8.1,0.6,0.0,90.7,0.0,0.0,0.0,0.6,161,0.0,0.0,55.7,48.63,0.0,0.0,0.0,0.0,0.0,0.0,57.86
90409,AGWSR Elementary School,9,AGWSR Comm School District,Elementary,67.32,Exceptional,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,52.9,47.1,2.6,38.2,20.4,0.0,0.0,0.0,11.5,0.5,0.0,88.0,0.0,0.0,0.0,0.0,191,0.0,0.0,62.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.9
90427,The Cougars Den,9,AGWSR Comm School District,Elementary,67.32,Exceptional,No Support Required,Met,Met,Achieved Standard,14466:AGWSR Elementary School,54.5,45.5,0.0,36.4,45.5,0.0,0.0,0.0,9.1,0.0,0.0,90.9,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90436,AGWSR Elementary at Wellsburg,9,AGWSR Comm School District,Elementary,67.32,Exceptional,No Support Required,Met,Met,Achieved Standard,14466:AGWSR Elementary School,43.2,56.8,0.0,45.5,22.7,0.0,0.0,0.0,4.5,0.0,0.0,95.5,0.0,0.0,0.0,0.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180209,Adair-Casey Jr. High School,18,Adair-Casey Comm School District,Junior-High,58.16,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,55.3,44.7,0.0,33.0,15.5,1.9,0.0,0.0,8.7,2.9,0.0,86.4,0.0,0.0,0.0,0.0,103,0.0,0.0,54.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.94
180409,Adair-Casey Elementary School,18,Adair-Casey Comm School District,Elementary,58.61,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,55.3,44.7,4.7,53.3,14.7,0.0,0.7,2.0,12.7,2.0,0.0,82.7,0.0,0.0,0.0,0.0,150,0.0,0.0,53.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.86
270172,ADM Senior High School,27,Adel DeSoto Minburn Comm School District,High,62.13,High Performing,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,50.5,49.3,0.5,18.6,7.5,1.1,1.1,0.0,4.6,1.2,0.3,91.7,0.0,0.0,0.0,0.5,651,0.2,0.0,59.8,54.08,0.0,0.0,0.0,0.0,0.0,0.0,62.21
270409,Adel Elementary School,27,Adel DeSoto Minburn Comm School District,Elementary,66.26,High Performing,No Support Required,Met,Met,Achieved Standard,14478:Meadow View Elementary,53.4,46.6,0.0,16.0,9.6,0.0,0.6,0.3,4.1,3.5,0.0,91.5,0.0,0.0,0.0,0.0,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270412,ADM Middle School,27,Adel DeSoto Minburn Comm School District,Middle,63.41,High Performing,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,47.2,52.8,0.9,20.4,14.0,0.9,0.6,0.3,5.0,1.7,0.3,91.3,0.3,0.0,0.0,0.3,343,0.0,0.0,57.73,52.15,0.0,0.0,0.0,0.0,0.0,0.0,63.64
270418,DeSoto Intermediate School,27,Adel DeSoto Minburn Comm School District,Elementary,62.31,High Performing,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,55.3,44.7,0.6,20.2,10.7,0.9,0.9,0.0,3.5,3.7,0.3,90.8,0.0,0.0,0.0,0.3,347,0.0,0.0,55.99,47.15,0.0,0.0,0.0,0.0,0.0,0.0,62.22
270427,Meadow View Elementary,27,Adel DeSoto Minburn Comm School District,Elementary,66.26,High Performing,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,53.1,46.9,1.0,18.8,11.3,0.6,0.6,0.0,5.6,3.8,0.2,89.2,0.0,0.0,0.0,0.4,520,0.0,0.0,63.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.56
630172,Akron Westfield Senior High School,63,Akron Westfield Comm School District,High,56.45,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,49.0,50.5,0.0,28.1,15.1,0.5,1.0,1.0,6.8,3.1,1.6,85.9,1.0,2.1,0.0,0.0,192,0.5,0.0,54.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.33
630409,Akron Westfield Elementary School,63,Akron Westfield Comm School District,Elementary,57.73,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,45.8,54.2,2.0,40.2,11.6,0.4,0.4,0.0,11.6,2.4,0.0,85.1,0.0,0.4,0.0,0.0,249,0.0,0.0,56.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.63
630418,Akron Westfield Middle School,63,Akron Westfield Comm School District,Middle,51.8,Acceptable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,47.5,51.8,0.0,28.1,14.4,0.0,2.2,0.0,11.5,2.9,0.0,83.5,0.0,2.2,0.0,0.0,139,0.7,0.0,50.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.39
720409,Albert City-Truesdale Elementary School,72,Albert City-Truesdale Comm School District,Elementary,46.21,Needs Improvement,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,52.0,48.0,4.9,52.9,22.5,0.0,0.0,0.0,22.5,2.0,0.0,75.5,0.0,0.0,4.9,0.0,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.79
810109,Albia High School,81,Albia Comm School District,High,57.27,Commendable,No Support Required,Met,Met,Achieved Standard,Independent Institutional Data,50.8,49.2,0.0,38.0,9.6,0.0,0.5,0.0,4.3,4.0,0.0,91.2,0.0,0.0,0.0,0.8,374,0.0,0.0,53.13,47.28,0.0,0.0,0.0,0.0,0.0,0.0,57.62
810209,Albia Middle School,81,Albia Comm School District,Middle,56.26,Commendable,Targeted Year 2,Met,Met,Achieved Standard,Independent Institutional Data,54.9,45.1,0.0,39.6,13.4,0.0,1.2,0.0,1.8,3.0,0.0,93.9,0.0,0.0,0.0,1.8,164,0.0,0.0,54.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.01
